congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,first_middle_name,last_name,fullname
116,House,21108,42,3.0,AR,200,,,"WOMACK, Steve",W000809,1957,,0.348,0.621,-70.65395,0.91657,811.0,28.0,,0.382,0.599,Steve,Womack,Steve Womack
116,House,21503,42,2.0,AR,200,,,"HILL, French",H001072,1956,,0.437,0.27,-92.30711,0.89166,805.0,34.0,,0.421,0.337,French,Hill,French Hill
116,House,21563,42,4.0,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967,,0.55,0.305,-77.10537,0.90768,796.0,31.0,,0.557,0.395,Bruce Eugene,Westerman,Bruce Westerman
116,House,15448,71,12.0,CA,100,,,"PELOSI, Nancy",P000197,1940,,-0.49,-0.197,-1.12054,0.98366,68.0,0.0,,-0.399,0.23,Nancy,Pelosi,Nancy Pelosi
116,House,20104,71,28.0,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.35,-0.133,-14.92084,0.98173,809.0,4.0,,-0.427,-0.005,Adam,Schiff,Adam Schiff
116,House,20108,71,53.0,CA,100,,,"DAVIS, Susan A.",D000598,1944,,-0.343,-0.103,-15.76482,0.98049,800.0,4.0,,-0.341,-0.007,Susan A.,Davis,Susan Davis
116,House,20307,71,22.0,CA,200,,,"NUNES, Devin",N000181,1973,,0.45,0.223,-81.10016,0.90371,801.0,30.0,,0.462,0.366,Devin,Nunes,Devin Nunes
116,House,20310,71,38.0,CA,100,,,"SÁNCHEZ, Linda T.",S001156,1969,,-0.508,-0.135,-13.18736,0.98338,787.0,5.0,,-0.523,-0.037,Linda T.,Sánchez,Linda Sánchez
116,House,20501,71,16.0,CA,100,,,"COSTA, Jim",C001059,1952,,-0.196,0.458,-96.02139,0.88716,802.0,31.0,,-0.373,0.757,Jim,Costa,Jim Costa
116,House,20538,71,6.0,CA,100,,,"MATSUI, Doris",M001163,1944,,-0.435,-0.146,-28.09303,0.96566,804.0,9.0,,-0.42,0.083,Doris,Matsui,Doris Matsui
116,House,20702,71,9.0,CA,100,,,"McNERNEY, Jerry",M001166,1951,,-0.263,-0.159,-19.97492,0.97494,787.0,8.0,,-0.428,-0.167,Jerry,Mcnerney,Jerry McNerney
116,House,20703,71,23.0,CA,200,,,"MCCARTHY, Kevin",M001165,1965,,0.453,0.233,-93.5791,0.88816,789.0,41.0,,0.424,0.371,Kevin,Mccarthy,Kevin McCarthy
116,House,20762,71,14.0,CA,100,,,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950,,-0.381,-0.41,-40.95259,0.9484,773.0,9.0,,-0.316,-0.227,Karen Lorraine Jacqueline (Jackie),Speier,Jackie Speier
116,House,20903,71,4.0,CA,200,,,"McCLINTOCK, Tom",M001177,1956,,0.682,-0.401,-164.27171,0.81247,791.0,79.0,,0.645,-0.386,Tom,Mcclintock,Tom McClintock
116,House,20955,71,27.0,CA,100,,,"CHU, Judy",C001080,1953,,-0.489,-0.379,-16.17171,0.98021,809.0,6.0,,-0.437,-0.42,Judy,Chu,Judy Chu
116,House,20958,71,3.0,CA,100,,,"GARAMENDI, John",G000559,1945,,-0.309,-0.096,-31.516,0.96123,797.0,8.0,,-0.303,-0.032,John,Garamendi,John Garamendi
116,House,20963,71,50.0,CA,200,,,"HUNTER, Duncan Duane",H001048,1976,,0.539,0.085,-124.54558,0.79736,550.0,57.0,,0.637,-0.1,Duncan Duane,Hunter,Duncan Hunter
116,House,21110,71,37.0,CA,100,,,"BASS, Karen",B001270,1953,,-0.584,-0.098,-16.74924,0.97843,768.0,8.0,,-0.572,-0.369,Karen,Bass,Karen Bass
116,House,21302,71,1.0,CA,200,,,"LaMALFA, Doug",L000578,1960,,0.538,0.026,-123.33075,0.85478,786.0,50.0,,0.507,0.083,Doug,Lamalfa,Doug LaMalfa
116,House,21303,71,2.0,CA,100,,,"HUFFMAN, Jared",H001068,1964,,-0.428,-0.527,-27.91146,0.96507,785.0,10.0,,-0.428,-0.684,Jared,Huffman,Jared Huffman
116,House,21304,71,7.0,CA,100,,,"BERA, Ami",B001287,1965,,-0.241,0.013,-29.05542,0.96476,810.0,11.0,,-0.363,0.303,Ami,Bera,Ami Bera
116,House,21305,71,8.0,CA,200,,,"COOK, Paul",C001094,1943,,0.372,0.208,-106.11394,0.87064,766.0,43.0,,0.323,0.37,Paul,Cook,Paul Cook
116,House,21306,71,15.0,CA,100,,,"SWALWELL, Eric",S001193,1980,,-0.362,-0.077,-21.64677,0.96601,626.0,6.0,,-0.521,0.264,Eric,Swalwell,Eric Swalwell
116,House,21308,71,26.0,CA,100,,,"BROWNLEY, Julia",B001285,1952,,-0.294,0.051,-30.11958,0.96296,798.0,12.0,,-0.369,0.216,Julia,Brownley,Julia Brownley
116,House,21309,71,29.0,CA,100,,,"CÁRDENAS, Tony",C001097,1963,,-0.395,-0.003,-29.41578,0.96261,772.0,14.0,,-0.45,0.043,Tony,Cárdenas,Tony Cárdenas
116,House,21311,71,36.0,CA,100,,,"RUIZ, Raul",R000599,1972,,-0.252,0.049,-41.52551,0.95009,811.0,18.0,,-0.392,0.219,Raul,Ruiz,Raul Ruiz
116,House,21312,71,41.0,CA,100,,,"TAKANO, Mark",T000472,1960,,-0.465,-0.293,-18.70384,0.97678,796.0,8.0,,-0.408,-0.353,Mark,Takano,Mark Takano
116,House,21313,71,47.0,CA,100,,,"LOWENTHAL, Alan",L000579,1941,,-0.449,-0.384,-16.31742,0.98003,809.0,4.0,,-0.482,-0.52,Alan,Lowenthal,Alan Lowenthal
116,House,21314,71,51.0,CA,100,,,"VARGAS, Juan",V000130,1961,,-0.404,0.048,-31.37496,0.96116,792.0,11.0,,-0.554,-0.187,Juan,Vargas,Juan Vargas
116,House,21315,71,52.0,CA,100,,,"PETERS, Scott",P000608,1958,,-0.188,-0.032,-60.84028,0.92597,791.0,24.0,,-0.227,0.179,Scott,Peters,Scott Peters
116,House,21504,71,11.0,CA,100,,,"DESAULNIER, Mark James",D000623,1952,,-0.523,-0.372,-16.04906,0.98019,802.0,7.0,,-0.453,-0.608,Mark James,Desaulnier,Mark DeSaulnier
116,House,21506,71,31.0,CA,100,,,"AGUILAR, Peter Rey",A000371,1979,,-0.31,0.141,-48.16583,0.94185,804.0,19.0,,-0.443,0.395,Peter Rey,Aguilar,Pete Aguilar
116,House,21507,71,33.0,CA,100,,,"LIEU, Ted",L000582,1969,,-0.374,-0.229,-25.69547,0.96735,774.0,8.0,,-0.592,-0.169,Ted,Lieu,Ted Lieu
116,House,21508,71,35.0,CA,100,,,"TORRES, Norma Judith",T000474,1965,,-0.363,0.046,-32.88041,0.95973,800.0,12.0,,-0.395,0.075,Norma Judith,Torres,Norma Torres
116,House,21703,71,44.0,CA,100,,,"BARRAGÁN, Nanette Diaz",B001300,1976,,-0.506,-0.105,-20.55049,0.97458,798.0,11.0,,-0.492,-0.486,Nanette Diaz,Barragán,Nanette Barragán
116,House,21709,71,24.0,CA,100,,,"CARBAJAL, Salud",C001112,1964,,-0.31,0.101,-17.05426,0.97919,811.0,4.0,,-0.357,0.077,Salud,Carbajal,Salud Carbajal
116,House,21711,71,46.0,CA,100,,,"CORREA, Jose Luis",C001110,1958,,-0.29,0.234,-57.7607,0.93018,798.0,24.0,,-0.341,0.169,Jose Luis,Correa,Lou Correa
116,House,21728,71,17.0,CA,100,,,"KHANNA, Rohit",K000389,1976,,-0.504,-0.255,-42.43459,0.9489,809.0,14.0,,-0.323,-0.665,Rohit,Khanna,Ro Khanna
116,House,21740,71,20.0,CA,100,,,"PANETTA, James Varni",P000613,1969,,-0.288,0.126,-35.112,0.95763,811.0,15.0,,-0.306,0.238,James Varni,Panetta,Jimmy Panetta
116,House,21754,71,34.0,CA,100,,,"GOMEZ, Jimmy",G000585,1974,,-0.542,-0.302,-27.87011,0.96593,804.0,11.0,,-0.416,-0.569,Jimmy,Gomez,Jimmy Gomez
116,House,21907,71,39.0,CA,100,,,"CISNEROS, Gil",C001123,1971,,-0.376,0.575,-48.30079,0.94197,808.0,16.0,,-0.377,0.577,Gil,Cisneros,Gil Cisneros
116,House,21909,71,21.0,CA,100,,,"COX, TJ",C001124,1963,,-0.343,0.478,-48.50115,0.94117,800.0,14.0,,-0.344,0.479,TJ,Cox,TJ Cox
116,House,21930,71,10.0,CA,100,,,"HARDER, Josh",H001090,1986,,-0.352,0.572,-64.44894,0.92297,804.0,20.0,,-0.386,0.763,Josh,Harder,Josh Harder
116,House,21932,71,25.0,CA,100,,,"HILL, Katie",H001087,1987,,-0.306,0.114,-20.26703,0.96104,510.0,8.0,,-0.305,0.113,Katie,Hill,Katie Hill
116,House,21939,71,49.0,CA,100,,,"LEVIN, Mike",L000593,1978,,-0.338,0.156,-21.05545,0.97437,811.0,7.0,,-0.353,0.124,Mike,Levin,Mike Levin
116,House,21954,71,45.0,CA,100,,,"PORTER, Katie",P000618,1974,,-0.224,-0.278,-122.77835,0.85739,798.0,38.0,,-0.179,0.016,Katie,Porter,Katie Porter
116,House,21960,71,48.0,CA,100,,,"ROUDA, Harley",R000616,1961,,-0.336,0.559,-42.41024,0.94792,793.0,11.0,,-0.336,0.56,Harley,Rouda,Harley Rouda
116,House,21988,71,25.0,CA,200,,,"GARCIA, Mike",G000061,1976,,0.362,0.067,-15.26063,0.88151,121.0,6.0,,0.386,0.447,Mike,Garcia,Mike Garcia
116,House,29106,71,43.0,CA,100,,,"WATERS, Maxine",W000187,1938,,-0.656,-0.079,-55.24638,0.93351,803.0,18.0,,-0.589,0.367,Maxine,Waters,Maxine Waters
116,House,29312,71,18.0,CA,100,,,"ESHOO, Anna Georges",E000215,1942,,-0.38,-0.397,-13.29447,0.98329,789.0,6.0,,-0.395,-0.213,Anna Georges,Eshoo,Anna Eshoo
116,House,29317,71,40.0,CA,100,,,"ROYBAL-ALLARD, Lucille",R000486,1941,,-0.469,-0.171,-15.44375,0.98076,795.0,5.0,,-0.399,-0.107,Lucille,Roybal-allard,Lucille Roybal-Allard
116,House,29323,71,42.0,CA,200,,,"CALVERT, Ken",C000059,1953,,0.341,0.263,-80.37505,0.9035,792.0,25.0,,0.321,0.524,Ken,Calvert,Ken Calvert
116,House,29504,71,19.0,CA,100,,,"LOFGREN, Zoe",L000397,1947,,-0.399,-0.419,-32.87271,0.95919,789.0,11.0,,-0.461,-0.466,Zoe,Lofgren,Zoe Lofgren
116,House,29707,71,30.0,CA,100,,,"SHERMAN, Brad",S000344,1954,,-0.343,-0.141,-20.95891,0.97401,796.0,11.0,,-0.454,0.067,Brad,Sherman,Brad Sherman
116,House,29778,71,13.0,CA,100,,,"LEE, Barbara",L000551,1946,,-0.677,-0.569,-25.81312,0.96833,802.0,11.0,,-0.545,-0.828,Barbara,Lee,Barbara Lee
116,House,29901,71,5.0,CA,100,,,"THOMPSON, Michael",T000460,1951,,-0.393,0.068,-37.13945,0.9543,794.0,18.0,,-0.441,0.414,Michael,Thompson,Mike Thompson
116,House,29903,71,32.0,CA,100,,,"NAPOLITANO, Grace Flores",N000179,1936,,-0.449,-0.245,-18.34123,0.97742,803.0,9.0,,-0.479,-0.253,Grace Flores,Napolitano,Grace Napolitano
116,House,20704,62,5.0,CO,200,,,"LAMBORN, Doug",L000564,1954,,0.667,0.232,-73.16192,0.91112,786.0,31.0,,0.636,0.236,Doug,Lamborn,Doug Lamborn
116,House,20705,62,7.0,CO,100,,,"PERLMUTTER, Ed",P000593,1953,,-0.282,0.072,-29.08088,0.96294,770.0,10.0,,-0.301,-0.033,Ed,Perlmutter,Ed Perlmutter
116,House,21111,62,3.0,CO,200,,,"TIPTON, Scott",T000470,1956,,0.451,-0.023,-127.84774,0.85366,808.0,51.0,,0.445,-0.0,Scott,Tipton,Scott Tipton
116,House,21510,62,4.0,CO,200,,,"BUCK, Kenneth Robert",B001297,1959,,0.656,-0.431,-118.16845,0.84688,711.0,44.0,,0.73,-0.418,Kenneth Robert,Buck,Ken Buck
116,House,21912,62,6.0,CO,100,,,"CROW, Jason",C001121,1979,,-0.319,0.209,-61.53136,0.92685,810.0,28.0,,-0.273,0.408,Jason,Crow,Jason Crow
116,House,21948,62,2.0,CO,100,,,"NEGUSE, Joseph",N000191,1984,,-0.396,-0.215,-20.20136,0.97534,809.0,8.0,,-0.466,-0.463,Joseph,Neguse,Joe Neguse
116,House,29710,62,1.0,CO,100,,,"DeGETTE, Diana",D000197,1957,,-0.431,-0.303,-18.22592,0.9775,801.0,8.0,,-0.4,-0.356,Diana,Degette,Diana DeGette
116,House,20706,1,2.0,CT,100,,,"COURTNEY, Joe",C001069,1953,,-0.34,0.03,-21.81944,0.97342,810.0,5.0,,-0.36,0.014,Joe,Courtney,Joe Courtney
116,House,20907,1,4.0,CT,100,,,"HIMES, James A.",H001047,1966,,-0.24,-0.226,-41.85354,0.94897,799.0,16.0,,-0.32,0.131,James A.,Himes,Jim Himes
116,House,21931,1,5.0,CT,100,,,"HAYES, Jahana",H001081,1973,,-0.316,-0.132,-21.37764,0.9729,778.0,5.0,,-0.372,-0.031,Jahana,Hayes,Jahana Hayes
116,House,29109,1,3.0,CT,100,,,"DeLAURO, Rosa L.",D000216,1943,,-0.414,-0.116,-19.53096,0.97546,786.0,7.0,,-0.378,-0.042,Rosa L.,Delauro,Rosa DeLauro
116,House,29908,1,1.0,CT,100,,,"LARSON, John B.",L000557,1948,,-0.396,-0.047,-17.49251,0.97837,800.0,6.0,,-0.347,0.01,John B.,Larson,John Larson
116,House,21706,11,1.0,DE,100,,,"BLUNT ROCHESTER, Lisa",B001303,1962,,-0.347,-0.153,-15.13347,0.98144,808.0,2.0,,-0.399,-0.103,Lisa,Blunt rochester,Lisa Blunt Rochester
116,House,21993,55,0.0,DC,100,,,"NORTON, Eleanor Holmes",N000147,1937,,-0.497,-0.053,-11.69854,0.94704,215.0,4.0,,-0.301,0.113,Eleanor Holmes,Norton,Eleanor Holmes Norton
116,House,20316,43,25.0,FL,200,,,"DIAZ-BALART, Mario",D000600,1961,,0.284,0.141,-133.52477,0.84539,795.0,49.0,,0.288,0.2,Mario,Diaz-balart,Mario Diaz-Balart
116,House,20504,43,23.0,FL,100,,,"WASSERMAN SCHULTZ, Debbie",W000797,1966,,-0.416,0.088,-26.40259,0.96713,790.0,7.0,,-0.356,0.108,Debbie,Wasserman schultz,Debbie Wasserman Schultz
116,House,20708,43,14.0,FL,100,,,"CASTOR, Kathy",C001066,1966,,-0.437,0.06,-16.80939,0.97941,808.0,5.0,,-0.417,-0.065,Kathy,Castor,Kathy Castor
116,House,20709,43,16.0,FL,200,,,"BUCHANAN, Vernon G.",B001260,1951,,0.362,-0.095,-142.74896,0.83276,780.0,59.0,,0.342,0.003,Vernon G.,Buchanan,Vern Buchanan
116,House,20758,43,12.0,FL,200,,,"BILIRAKIS, Gus",B001257,1963,,0.419,-0.017,-126.24475,0.85092,782.0,55.0,,0.406,0.003,Gus,Bilirakis,Gus Bilirakis
116,House,20909,43,8.0,FL,200,,,"POSEY, Bill",P000599,1947,,0.531,-0.351,-182.66556,0.79472,795.0,83.0,,0.538,-0.344,Bill,Posey,Bill Posey
116,House,20959,43,22.0,FL,100,,,"DEUTCH, Theodore E. (Ted)",D000610,1966,,-0.401,-0.078,-19.78731,0.97511,785.0,5.0,,-0.394,0.062,Theodore E. (Ted),Deutch,Ted Deutch
116,House,21116,43,11.0,FL,200,,,"WEBSTER, Daniel A.",W000806,1949,,0.525,-0.094,-158.66502,0.81114,758.0,82.0,,0.56,-0.155,Daniel A.,Webster,Daniel Webster
116,House,21118,43,24.0,FL,100,,,"WILSON, Frederica",W000808,1942,,-0.477,-0.012,-12.4943,0.98312,734.0,4.0,,-0.538,0.027,Frederica,Wilson,Frederica Wilson
116,House,21317,43,3.0,FL,200,,,"YOHO, Ted",Y000065,1955,,0.704,-0.365,-131.16793,0.83387,722.0,57.0,,0.715,-0.336,Ted,Yoho,Ted Yoho
116,House,21321,43,21.0,FL,100,,,"FRANKEL, Lois",F000462,1948,,-0.397,-0.054,-22.33559,0.97148,772.0,9.0,,-0.345,-0.022,Lois,Frankel,Lois Frankel
116,House,21712,43,13.0,FL,100,,,"CRIST, Charlie Joseph Jr.",C001111,1956,,-0.227,0.079,-33.59071,0.95933,809.0,15.0,,-0.29,0.282,Charlie Joseph Jr.,Crist,Charlie Crist
116,House,21713,43,10.0,FL,100,,,"DEMINGS, Valdez Butler",D000627,1957,,-0.322,-0.006,-20.74385,0.97462,807.0,6.0,,-0.314,0.09,Valdez Butler,Demings,Val Demings
116,House,21714,43,2.0,FL,200,,,"DUNN, Neal Patrick",D000628,1953,,0.503,0.371,-125.26882,0.84674,753.0,54.0,,0.547,0.173,Neal Patrick,Dunn,Neal Dunn
116,House,21719,43,1.0,FL,200,,,"GAETZ, Matthew L. II",G000578,1982,,0.598,-0.646,-202.05135,0.75293,712.0,95.0,,0.593,-0.64,Matthew L. II,Gaetz,Matt Gaetz
116,House,21732,43,5.0,FL,100,,,"LAWSON, Alfred Jr.",L000586,1948,,-0.26,0.076,-35.0294,0.95647,787.0,15.0,,-0.262,0.073,Alfred Jr.,Lawson,Al Lawson Jr.
116,House,21735,43,18.0,FL,200,,,"MAST, Brian Jeffery",M001199,1980,,0.462,-0.359,-210.29533,0.76262,776.0,97.0,,0.455,-0.369,Brian Jeffery,Mast,Brian Mast
116,House,21738,43,7.0,FL,100,,,"MURPHY, Stephanie",M001202,1978,,-0.161,0.123,-85.71652,0.89935,808.0,32.0,,-0.177,0.246,Stephanie,Murphy,Stephanie Murphy
116,House,21742,43,19.0,FL,200,,,"ROONEY, Francis",R000607,1953,,0.501,-0.494,-268.86408,0.60612,537.0,133.0,,0.486,-0.634,Francis,Rooney,Francis Rooney
116,House,21744,43,4.0,FL,200,,,"RUTHERFORD, John Henry",R000609,1952,,0.426,0.068,-165.10613,0.80945,781.0,75.0,,0.416,0.033,John Henry,Rutherford,John Rutherford
116,House,21746,43,9.0,FL,100,,,"SOTO, Darren Michael",S001200,1978,,-0.361,0.167,-20.01834,0.97529,800.0,6.0,,-0.363,0.008,Darren Michael,Soto,Darren Soto
116,House,21947,43,26.0,FL,100,,,"MUCARSEL-POWELL, Debbie",M001207,1971,,-0.345,0.332,-34.25115,0.9584,806.0,20.0,,-0.345,0.333,Debbie,Mucarsel-powell,Debbie Mucarsel-Powell
116,House,21963,43,27.0,FL,100,,,"SHALALA, Donna",S001206,1941,,-0.352,0.021,-17.13918,0.97901,808.0,6.0,,-0.351,0.018,Donna,Shalala,Donna Shalala
116,House,21967,43,15.0,FL,200,,,"SPANO, Ross",S001210,1966,,0.462,0.009,-113.84357,0.86564,789.0,39.0,,0.462,0.003,Ross,Spano,Ross Spano
116,House,21971,43,17.0,FL,200,,,"STEUBE, William",S001214,1978,,0.689,-0.284,-130.02043,0.847,783.0,59.0,,0.66,-0.34,William,Steube,Greg Steube
116,House,21981,43,6.0,FL,200,,,"WALTZ, Michael",W000823,1974,,0.442,-0.117,-151.66244,0.81974,763.0,68.0,,0.411,-0.147,Michael,Waltz,Michael Waltz
116,House,29337,43,20.0,FL,100,,,"HASTINGS, Alcee Lamar",H000324,1936,2021.0,-0.564,0.157,-14.78068,0.97652,622.0,4.0,,-0.54,0.212,Alcee Lamar,Hastings,Alcee Hastings
116,House,15431,44,5.0,GA,100,,,"LEWIS, John R.",L000287,1940,2020.0,-0.589,-0.221,-11.00536,0.98252,624.0,5.0,,-0.449,-0.132,John R.,Lewis,John Lewis
116,House,20321,44,13.0,GA,100,,,"SCOTT, David",S001157,1945,,-0.304,0.168,-23.48105,0.97118,803.0,5.0,,-0.361,0.123,David,Scott,David Scott
116,House,20712,44,4.0,GA,100,,,"JOHNSON, Hank",J000288,1954,,-0.473,-0.025,-36.1536,0.95598,803.0,10.0,,-0.461,-0.075,Hank,Johnson,Hank Johnson
116,House,20962,44,14.0,GA,200,,,"GRAVES, Tom",G000560,1970,,0.716,-0.002,-113.96483,0.85361,720.0,41.0,,0.664,0.143,Tom,Graves,Tom Graves
116,House,21122,44,7.0,GA,200,,,"WOODALL, Rob",W000810,1970,,0.593,-0.173,-143.25698,0.83623,801.0,64.0,,0.501,0.112,Rob,Woodall,Rob Woodall
116,House,21123,44,8.0,GA,200,,,"SCOTT, Austin",S001189,1969,,0.535,0.354,-94.93234,0.8865,788.0,33.0,,0.56,0.353,Austin,Scott,Austin Scott
116,House,21323,44,9.0,GA,200,,,"COLLINS, Doug",C001093,1966,,0.61,0.134,-81.58804,0.89601,743.0,31.0,,0.595,0.303,Doug,Collins,Doug Collins
116,House,21513,44,1.0,GA,200,,,"CARTER, Buddy",C001103,1957,,0.562,0.317,-99.56257,0.8827,798.0,37.0,,0.596,0.179,Buddy,Carter,Buddy Carter
116,House,21514,44,10.0,GA,200,,,"HICE, Jody Brownlow",H001071,1960,,0.797,-0.242,-82.05851,0.89803,763.0,32.0,,0.856,-0.087,Jody Brownlow,Hice,Jody Hice
116,House,21515,44,11.0,GA,200,,,"LOUDERMILK, Barry D.",L000583,1963,,0.682,-0.003,-80.78459,0.89086,699.0,30.0,,0.715,0.133,Barry D.,Loudermilk,Barry Loudermilk
116,House,21516,44,12.0,GA,200,,,"ALLEN, Rick W.",A000372,1951,,0.692,0.291,-91.73229,0.89192,802.0,38.0,,0.756,0.355,Rick W.,Allen,Rick Allen
116,House,21717,44,3.0,GA,200,,,"FERGUSON, Anderson Drew IV",F000465,1966,,0.597,0.22,-120.83704,0.85883,794.0,51.0,,0.655,0.165,Anderson Drew IV,Ferguson,Drew Ferguson
116,House,21944,44,6.0,GA,100,,,"McBATH, Lucy",M001208,1960,,-0.322,0.258,-69.62896,0.91753,809.0,25.0,,-0.249,0.354,Lucy,Mcbath,Lucy McBath
116,House,21991,44,5.0,GA,100,,,"HALL, Kwanza",H001092,1971,,,,,,,,,-0.392,0.628,Kwanza,Hall,Kwanza Hall
116,House,29339,44,2.0,GA,100,,,"BISHOP, Sanford Dixon, Jr.",B000490,1947,,-0.285,0.454,-57.15819,0.93054,794.0,29.0,,-0.338,0.281,Sanford Dixon,Bishop,Sanford Bishop
116,House,21997,94,0.0,GU,100,,,"SAN NICOLAS, Michael",S001204,1981,,-0.41,-0.52,-0.92032,0.99189,113.0,0.0,,-0.407,-0.494,Michael,San nicolas,Michael San Nicolas
116,House,20322,82,1.0,HI,100,,,"CASE, Ed",C001055,1952,,-0.198,-0.083,-51.39672,0.9383,807.0,17.0,,-0.195,0.01,Ed,Case,Ed Case
116,House,21324,82,2.0,HI,100,,,"GABBARD, Tulsi",G000571,1981,,-0.274,-0.282,-39.27084,0.92793,525.0,14.0,,-0.258,-0.641,Tulsi,Gabbard,Tulsi Gabbard
116,House,21920,63,1.0,ID,200,,,"FULCHER, Russell",F000469,1962,,0.639,-0.039,-98.28364,0.88453,801.0,41.0,,0.628,0.036,Russell,Fulcher,Russ Fulcher
116,House,29910,63,2.0,ID,200,,,"SIMPSON, Michael K.",S001148,1950,,0.297,0.307,-178.95198,0.7931,772.0,66.0,,0.332,0.282,Michael K.,Simpson,Mike Simpson
116,House,20508,21,3.0,IL,100,,,"LIPINSKI, Daniel",L000563,1966,,-0.227,0.176,-109.5829,0.87002,787.0,33.0,,-0.146,0.05,Daniel,Lipinski,Dan Lipinski
