variable,area,polarization,mean_dem,mean_rep,n_dem,n_rep,n_total,scale_range,direction
ldctax,Role of Government: Economics & Global Aid,0.251145827638365,2.778998778998779,3.783582089552239,819,536,1355,4.0,Rep higher
govfnanc,Role of Government: Economics & Global Aid,0.25025314179725944,2.340686274509804,3.341698841698842,816,518,1334,4.0,Rep higher
racdif4,Race: Explanations for Inequality,0.2442304270851865,1.819134396355353,1.5749039692701665,2195,1562,3757,1.0,Dem higher
getaheadnv,Other,0.23318816257860342,1.6784214945424014,1.2120451693851946,1191,797,1988,2.0,Dem higher
discaff,Race: Government Intervention & Affirmative Action,0.23268129129289772,2.558780231335436,2.0934176487496408,4755,3479,8234,2.0,Dem higher
confed,"Confidence: Government (Executive, Congress, Courts)",0.22852854743912676,2.1146095717884132,2.5716666666666668,3176,2400,5576,2.0,Rep higher
nataid,Military & Foreign Aid,0.22479050901209607,2.3091177089913666,2.7586987270155587,4749,3535,8284,2.0,Rep higher
pillok,Teens: Birth Control Access,0.22099352673016295,1.8239171374764596,2.4868977176669484,3186,2366,5552,3.0,Rep higher
grass,Criminal Justice: Punishment & Drug Policy,0.21433827336796263,1.2140221402214022,1.4283604135893648,813,677,1490,1.0,Rep higher
natchld,"Spending: Welfare, Education & Infrastructure",0.21198575292719335,1.279454926624738,1.7034264324791246,4770,3473,8243,2.0,Rep higher
abrape,Abortion: Circumstances for Legality & Support,0.20254278079304222,1.0601503759398496,1.2626931567328918,1862,1359,3221,1.0,Rep higher
natheal,Other,0.20204645434268254,1.2330702118820107,1.6371631205673758,4814,3525,8339,2.0,Rep higher
fehire,Gender: Workplace Hiring & Affirmative Action,0.19865903861191525,2.0637041640770666,2.8583403185247276,3218,2386,5604,4.0,Rep higher
polhitok,Police Authority: Use of Force,0.19727740149197248,1.3926302414231257,1.1953528399311533,1574,1162,2736,1.0,Dem higher
hlthgov,Other,0.19591762778092892,3.9878048780487805,3.204134366925065,574,387,961,4.0,Dem higher
spanking,Parenting: Corporal Punishment,0.19288511980705728,2.705606013153774,2.126950653732602,3193,2371,5564,3.0,Dem higher
natmass,"Spending: Welfare, Education & Infrastructure",0.19223773270325728,1.4756817542873208,1.8601572196938354,3557,2417,5974,2.0,Rep higher
polescap,Police Authority: Use of Force,0.1914103929271418,1.4611251580278128,1.269714765100671,3164,2384,5548,1.0,Dem higher
discaffm,Gender: Workplace Hiring & Affirmative Action,0.1896889642297596,2.9342693044033186,2.3652024117140398,1567,1161,2728,3.0,Dem higher
consci,Confidence: Science & Research,0.18190742123243153,1.4903694347963372,1.8541842772612003,3167,2366,5533,2.0,Rep higher
natcrime,Spending: Crime & Drug Enforcement,0.1761492001014131,1.6824338403834131,1.330135440180587,4799,3544,8343,2.0,Dem higher
prayer,Schools: Policy & Religion,0.17551581348974654,1.4233128834355828,1.5988286969253294,815,683,1498,1.0,Rep higher
carsgen,Environment: Regulation & Personal Sacrifice,0.17533821105421898,2.255896226415094,2.95724907063197,848,538,1386,4.0,Rep higher
sexeduc,Schools: Policy & Religion,0.1745726587013381,1.0337078651685394,1.2082805238698775,3204,2367,5571,1.0,Rep higher
conjudge,"Confidence: Government (Executive, Congress, Courts)",0.17203522733061882,2.2578419071518194,1.9137714524905818,3188,2389,5577,2.0,Dem higher
nateduc,"Spending: Welfare, Education & Infrastructure",0.16976396217728518,1.173841059602649,1.5133689839572193,4832,3553,8385,2.0,Rep higher
colath,Tolerance: Anti-Religious Expression,0.16290412627518602,4.2594427244582045,4.4223468507333905,3230,2318,5548,1.0,Rep higher
uswary,Military & Foreign Aid,0.15977165241484736,1.4834710743801653,1.323699421965318,242,173,415,1.0,Dem higher
impgrn,Environment: Regulation & Personal Sacrifice,0.1574681268036352,3.7124413145539905,3.0825688073394497,852,545,1397,4.0,Dem higher
racopen,Race: Perceived Group Differences & Social Distance,0.15514538701614145,1.8711217183770883,1.7159763313609468,419,338,757,1.0,Dem higher
abhelp4,Abortion: Circumstances for Legality & Support,0.1538846533234206,1.0202578268876612,1.1741424802110818,543,379,922,1.0,Rep higher
conclerg,Confidence: Clergy,0.15179442023096135,2.317922735908803,2.0143338954468804,3158,2372,5530,2.0,Dem higher
getaheadv,Other,0.15007646635480387,1.7346767422334173,1.4345238095238095,1191,840,2031,2.0,Dem higher
letdie1,Bioethics & End of Life,0.14341977678522322,1.2086626620297187,1.352082438814942,3163,2329,5492,1.0,Rep higher
colcom,Tolerance: Communist Expression,0.1383821679458368,4.726984126984127,4.58860195903829,1575,1123,2698,1.0,Dem higher
natsci,Confidence: Science & Research,0.13774953462995065,1.537037037037037,1.8125361062969383,4752,3462,8214,2.0,Rep higher
natdrug,Spending: Crime & Drug Enforcement,0.13207350083388558,1.3168379115118474,1.5809849131796185,4769,3513,8282,2.0,Rep higher
coneduc,Confidence: Education System,0.13091160471951846,1.9269821372610467,2.1888053467000836,3191,2394,5585,2.0,Rep higher
spkrac,Tolerance: Racist Expression,0.12999730331018666,1.5576923076923077,1.427695004382121,1612,1141,2753,1.0,Dem higher
spkracy,Other,0.1270225858529508,1.5760537568723274,1.4490311710193766,1637,1187,2824,1.0,Dem higher
harmsgrn,Environment: Regulation & Personal Sacrifice,0.1268206842564551,2.6068476977567885,3.114130434782609,847,552,1399,4.0,Rep higher
busgrn,Environment: Regulation & Personal Sacrifice,0.11941048696706402,1.7264851485148516,1.9653061224489796,808,490,1298,2.0,Rep higher
abhlth,Abortion: Circumstances for Legality & Support,0.11316026641461319,1.0341151385927505,1.1472754050073637,1876,1358,3234,1.0,Rep higher
colrac,Tolerance: Racist Expression,0.10803267036898756,4.711145510835913,4.603112840466926,3230,2313,5543,1.0,Dem higher
scienthe,Confidence: Science & Research,0.10777223099750015,1.5473457675753228,1.8706624605678233,1394,951,2345,3.0,Rep higher
polattak,Police Authority: Use of Force,0.10765562720991118,1.2522236340533672,1.144568006843456,1574,1169,2743,1.0,Dem higher
discaffw,Gender: Workplace Hiring & Affirmative Action,0.10676531405276342,2.0011834319526627,2.321479374110953,845,703,1548,3.0,Rep higher
grwthelp,Environment: Regulation & Personal Sacrifice,0.10364120425974854,2.8768115942028984,2.4622467771639043,828,543,1371,4.0,Dem higher
spkcomy,Other,0.10248682723313718,1.2632226322263223,1.3657094594594594,1626,1184,2810,1.0,Rep higher
conarmy,"Confidence: Business, Finance & Military",0.1023804184154038,1.7453689167974882,1.5406080799666806,3185,2401,5586,2.0,Dem higher
conlegis,"Confidence: Government (Executive, Congress, Courts)",0.10219904655806666,2.4009419152276297,2.605340008343763,3185,2397,5582,2.0,Rep higher
libath,Tolerance: Anti-Religious Expression,0.10188030436055007,1.861318407960199,1.759438103599649,1608,1139,2747,1.0,Dem higher
libmslm,Tolerance: Muslim Extremist Expression,0.0959548227312168,1.5963930348258706,1.5004382120946538,1608,1141,2749,1.0,Dem higher
libathy,Other,0.0958804856080937,1.8638871857755979,1.7680067001675042,1631,1194,2825,1.0,Dem higher
getahead,Economic Mobility: Effort vs. Luck,0.09461462450592883,1.5869565217391304,1.3977272727272727,874,704,1578,2.0,Dem higher
libcom,Tolerance: Communist Expression,0.09453565902936112,1.7888819487820113,1.6943462897526502,1601,1132,2733,1.0,Dem higher
othssame,Environment: Regulation & Personal Sacrifice,0.09107519931049346,3.7141176470588237,3.34981684981685,850,546,1396,4.0,Dem higher
marblk,Race: Perceived Group Differences & Social Distance,0.08601739844814726,2.38468720821662,2.728756802009209,3213,2389,5602,4.0,Rep higher
spkmil,Tolerance: Militarist Expression,0.08424657534246571,1.4092465753424657,1.325,584,400,984,1.0,Dem higher
toodifme,Environment: Regulation & Personal Sacrifice,0.08346969953798478,3.557126030624264,3.2232472324723247,849,542,1391,4.0,Dem higher
wlthwhts,Race: Perceived Group Differences & Social Distance,0.07959070430000666,3.1865384615384613,3.6640826873385013,1560,1161,2721,6.0,Rep higher
ihlpgrn,Environment: Regulation & Personal Sacrifice,0.07855355899756356,2.3585798816568047,2.672794117647059,845,544,1389,4.0,Rep higher
natpark,Spending: Environment & Energy,0.07815125935038825,1.6166107382550337,1.7729132569558101,3576,2444,6020,2.0,Rep higher
govineq2,Role of Government: Economics & Global Aid,0.0760526515700859,4.088410991636798,3.7842003853564545,837,519,1356,4.0,Dem higher
colmslm,Tolerance: Muslim Extremist Expression,0.07074556478179339,4.659726538222499,4.730472103004292,3218,2330,5548,1.0,Rep higher
courts,Criminal Justice: Punishment & Drug Policy,0.06873394820904721,1.9597030752916225,2.097170971709717,943,813,1756,2.0,Rep higher
librac,Tolerance: Racist Expression,0.0677362470937406,1.572405220633934,1.6401414677276747,1609,1131,2740,1.0,Rep higher
spkmslmy,Other,0.06617578335079188,1.5376607470912431,1.603836530442035,1633,1199,2832,1.0,Rep higher
grwtharm,Environment: Regulation & Personal Sacrifice,0.06548931952157766,3.4468339307048983,3.708791208791209,837,546,1383,4.0,Rep higher
spkmslm,Tolerance: Muslim Extremist Expression,0.06392646207928032,1.5115121344119478,1.575438596491228,1607,1140,2747,1.0,Rep higher
govineq1,Role of Government: Economics & Global Aid,0.05936643148624715,1.929510155316607,2.1669758812615956,837,539,1376,4.0,Rep higher
libmil,Tolerance: Militarist Expression,0.05932633969933332,1.6950596252129473,1.7543859649122806,587,399,986,1.0,Rep higher
marasian,Race: Perceived Group Differences & Social Distance,0.0577929836236033,2.389893948845914,2.6210658833403273,3206,2383,5589,4.0,Rep higher
marhisp,Race: Perceived Group Differences & Social Distance,0.0559716331551674,2.384663341645885,2.6085498742665547,3208,2386,5594,4.0,Rep higher
spkathy,Other,0.05463217767593176,1.1729828850855746,1.2276150627615063,1636,1195,2831,1.0,Rep higher
spkcom,Tolerance: Communist Expression,0.053572118649214184,1.27386150966937,1.3274336283185841,1603,1130,2733,1.0,Rep higher
spkath,Tolerance: Anti-Religious Expression,0.0535509362467006,1.1761433868974043,1.2296943231441049,1618,1145,2763,1.0,Rep higher
conbus,"Confidence: Business, Finance & Military",0.05247070303305024,2.1070413640669403,2.00209995800084,3167,2381,5548,2.0,Dem higher
libhomo,Tolerance: Pro-Homosexual Expression,0.05217283188420696,1.898132427843803,1.845959595959596,589,396,985,1.0,Dem higher
polabuse,Police Authority: Use of Force,0.05121281831336155,1.939911448450348,1.8886986301369864,1581,1168,2749,1.0,Dem higher
colhomo,Tolerance: Pro-Homosexual Expression,0.049939849654260904,4.040518638573744,4.090458488228005,1234,807,2041,1.0,Rep higher
workwhts,Race: Perceived Group Differences & Social Distance,0.049741285163707794,3.7498424700693134,3.4513947590870666,3174,2366,5540,6.0,Dem higher
polmurdr,Police Authority: Use of Force,0.049591225218475365,1.8218227688426365,1.7722315436241611,3171,2384,5555,1.0,Dem higher
spkmily,Other,0.046279854137276866,1.3934681181959565,1.3471882640586796,643,409,1052,1.0,Dem higher
confinan,"Confidence: Business, Finance & Military",0.04584410332155231,2.0854460093896714,1.9937578027465668,3195,2403,5598,2.0,Dem higher
spkhomo,Tolerance: Pro-Homosexual Expression,0.042737099997850914,1.0509337860780985,1.0936708860759494,589,395,984,1.0,Rep higher
colmil,Tolerance: Militarist Expression,0.041305245766212195,4.555555555555555,4.514250309789343,1224,807,2031,1.0,Dem higher
natsoc,Spending: Social Security,0.03609990903831828,1.4064204783885859,1.4786202964652224,4766,3508,8274,2.0,Rep higher
intlwhts,Race: Perceived Group Differences & Social Distance,0.030388280773563963,4.454201680672269,4.636531365313653,2380,1626,4006,6.0,Rep higher
helpfulv,Other,0.026088415066384263,2.1406518010291595,2.088474970896391,1166,859,2025,2.0,Dem higher
spkhomoy,Other,0.021150796647285475,1.0325077399380804,1.053658536585366,646,410,1056,1.0,Rep higher
natroad,"Spending: Welfare, Education & Infrastructure",0.014717302709797986,1.4915572232645404,1.5209918286841364,4797,3549,8346,2.0,Rep higher
natspac,Confidence: Science & Research,0.014072504796739604,2.0620384047267355,2.0338933951332563,4739,3452,8191,2.0,Dem higher
marwht,Race: Perceived Group Differences & Social Distance,0.010984061268691225,2.3790849673202614,2.3351487222454965,3213,2387,5600,4.0,Dem higher
helpfulnv,Other,0.010225445023331003,1.429426860564585,1.449877750611247,1169,818,1987,2.0,Rep higher
eldfnce,Family Responsibility: Care for Elderly,0.00950292397660816,2.9166666666666665,2.8596491228070176,540,342,882,6.0,Dem higher
racdif2,Race: Explanations for Inequality,0.0071303626841991985,1.9315813321250566,1.9387116948092558,2207,1599,3806,1.0,Rep higher
helpful,Social Trust,0.001536920275739262,1.6867052023121387,1.6836313617606602,865,727,1592,2.0,Dem higher
