issue,normalized_distance,variance,area,explanation
ghg_emiss,0.3229952025058279,0.0977970360338509,Climate,Support for regulating greenhouse gas emissions / carbon emissions.
gun_imp,0.0709058783189011,0.06983596791115244,Guns,Importance placed on gun regulation as a political issue.
mil_force,0.07655867243166414,0.04905991405597025,ForeignPolicy,Support for the use of U.S. military force internationally.
millionaire_tax,0.32800464814787694,0.15652084673306185,Redistribution,Support for taxes targeting millionaires.
min_wage,0.2354950053383646,0.07132627862203375,Labor,Support for raising the minimum wage / minimum-wage policy changes.
free_trade,0.06999322484859377,0.05959336880961057,Trade,Support for free trade policies and reducing trade barriers.
intl_trade_job,0.039820534048484846,0.0657185837004392,Trade,Beliefs about international trade's impact on jobs (job creation/loss from trade).
ft_asian,0.045641498623240184,0.04334165895962361,Diversity,Feeling thermometer rating toward Asian-Americans.
biden_foreign,0.5420745999675796,0.17360291197826483,ForeignPolicy,Approval of Joe Biden's handling of foreign relations.
limit_imports,0.38588640720766204,0.14564146228359734,Trade,Support for placing new limits on imports from other countries.
immig_levels,0.1968029862158317,0.08859646779341646,Immigration,Opinion on whether the number of immigrants permitted to come to the U.S. should be increased or decreased.
biden_crime,0.5586008693460873,0.16053349924514007,CrimeAndPolicing,Approval of Joe Biden's handling of crime.
affirm_action,0.28852575838238465,0.0902132043575914,Education,Favor or oppose affirmative action in university admissions.
health_spend,0.24762426313355815,0.08454619452676099,Health,Preference for government spending to help people pay for health insurance.
dei_college,0.3698648252341489,0.10708509124775974,Education,"Views on Diversity, Equity, and Inclusion (DEI) policies on college campuses."
discuss_race,0.1419604484724245,0.08130642762543194,Diversity,Frequency of discussing race or racial issues with children.
israel_aid,0.19991113919808956,0.11704168922228378,ForeignPolicy,Favor or oppose the U.S. providing military assistance to Israel.
vote_denied,0.12312038175794604,0.05732148890456676,Elections,Perceived frequency of how often people are denied the right to vote.
crime_spend,0.19722176030327124,0.20362134371204355,CrimeAndPolicing,Preference for federal spending levels on dealing with crime.
biden_economy,0.602044057449511,0.17307741321972667,Economy,Approval of Joe Biden's handling of the economy.
biden_abortion,0.5446374161828507,0.18090090465517517,Abortion,Approval of Joe Biden's handling of abortion.
biden_immigration,0.5111956351420819,0.14831472084059114,Immigration,Approval of Joe Biden's handling of immigration.
