Variable,Description,SurveyQuestion,NaturalLanguageClause
god,r's confidence in the existence of god,"Please look at this card and tell me which statement comes closest to expressing what you believe about God. I don''t believe in God.....................1 I don''t know whether there is a God and I don''t believe there is any way to find out..................................2 I don''t believe in a personal God, but I do believe in a Higher Power of some kind........................3 I find myself believing in God some of the time, but not at others........4 While I have doubts, I feel that I do believe in God….............................5 I know God really exists and I have no doubts about it...........................6",confidence in the existence of God
godmeans,life meaningful because god exists,"Do you agree or disagree with the following. . . C. To me, life is meaningful only because God exists.",whether life is meaningful only because God exists
makefrnd,religion helps people to make friends,Do you agree or disagree that… B. ...that practicing a religion helps people to make friends?,whether practicing religion helps people make friends
popespks,pope is infallible on matter's of faith or morals,"We are interested in what American Catholics think about religious matters. please select the answer from this card that comes closest to your own personal opinion about the following statement: Under certain conditions, the pope is infallible when he speaks on matters of faith and morals.",whether the Pope is infallible on matters of faith and morals
postlife,belief in life after death,Do you believe there is a life after death?,whether to believe in life after death
pray,how often does r pray,About how often do you pray? USE CATEGORIES AS PROBES.,how often to pray
reborn,has r ever had a 'born again' experience,"Would you say you have been ""born again"" or have had a ""born again"" experience -- that is, a turning point in your life when you committed yourself to Christ?",whether he/she has had a 'born again' experience
relexp,have religious experience changed life,Did you ever have a religious or spiritual experience that changed your life?,whether he/she has had a religious experience that changed life
relidesc,how well r's religion describes r,How well does being a member of your religion describe you?,how well religion describes him/her
relidimp,how important is r's religion,"How important is religion in your life – very important, somewhat important, not too important, or not at all important?",how important religion is in life
relidins,to what extent r feels insulted if someone criticized r's religion,"If someone criticized your religion, to what extent would it feel like a personal insult?",to what extent to feel insulted if someone criticizes religion
relidwe,how often r says 'we' when talking about r's religion,"When talking about your religion, how often do you say we instead of they?",how often to say we instead of they when talking about religion
religimp,how important is religion,"How important is religion in your life -- very important, somewhat important, not too important, or not at all important?",how important religion is in life
relpersn,r consider self a religious person,To what extent do you consider yourself a religious person? Are you . . .,to what extent he/she self-identifies as a religious person
savesoul,tried to convince others to accept jesus,Have you ever tried to encourage someone to believe in Jesus Christ or to accept Jesus Christ as his or her savior?,whether to try to convince others to accept Jesus
sprtprsn,r consider self a spiritual person,To what extent do you consider yourself a spiritual person? Are you . . .,to what extent he/she self-identifies as a spiritual person
theism,god concerned with human beings personally,Do you agree or disagree with the following. . . A. There is a God who concerns Himself with every human being personally.,whether God concerns Himself with every human being personally
evcrack,r ever use crack cocaine,"Have you ever, even once, used "crack" cocaine in chunk or rock form?",whether to use crack cocaine
egomeans,life meaningful only if you provide meaning,Do you agree or disagree with the following. . . F. Life is only meaningful if you provide the meaning yourself.,whether life is only meaningful if you provide the meaning yourself
fatalism,people can't change the course of their lives,Do you agree or disagree with the following. . . B. There is little that people can do to change the course of their lives.,whether people can change the course of their lives
nihilism,life serves no purpose,"Do you agree or disagree with the following. . . D. In my opinion, life does not serve any purpose.",whether life serves any purpose
emailhr,email hours per week,About how many minutes or hours per week do you spend sending and answering electronic mail or e-mail?,how many hours per week to spend on email
emailmin,email minutes per week,About how many minutes or hours per week do you spend sending and answering electronic mail or e-mail?,how many minutes per week to spend on email
wwwhr,www hours per week,"Not counting e-mail, about how many minutes or hours per week Do you use the Web? (Include time you spend visiting regular web sites and time spent using interactive Internet services like chat rooms, Usenet groups, discussion forums, bulletin boards, and the like.) A. Hours per week?",how many hours per week to use the web
wwwmin,www minutes per week,"Not counting e-mail, about how many minutes or hours per week Do you use the Web? (Include time you spend visiting regular web sites and time spent using interactive Internet services like chat rooms, Usenet groups, discussion forums, bulletin boards, and the like.) B. Minutes per week?",how many minutes per week to use the web
condom,used condom last time,"The last time you had sex, was a condom used? By ""sex"" we mean vaginal, oral, or anal sex.",whether to use a condom when having sex
fammhneg,r's family's negative attitudes about mh problems,"Thinking about your family, to what extent do they hold negative attitudes about people with mental health problems?",to what extent family holds negative attitudes about people with mental health problems
othmhneg,r's other acquaintences negative attitudes about mh problems,"Thinking about other people you know personally outside of your family, to what extent do they hold negative attitudes about people with mental health problems?",to what extent acquaintances hold negative attitudes about people with mental health problems
fear,afraid to walk at night in neighborhood,"Is there any area right around here--that is, within a mile--where you would be afraid to walk alone at night?",whether to be afraid to walk alone at night in the neighborhood
firstyou,should take care of oneself and ones family first,"Please select a response to indicate how much you agree or disagree with each of the following statements. B. You should take care of yourself and your family first, before helping other people",whether to take care of oneself and family first before helping others
helpfrds,should better off ppl help less well-off friend,Please select a response to indicate how much you agree or disagree with each of the following statements. C. People who are better off should help friends who are less well off,whether people who are better off should help friends who are less well off
opclout,need political connections to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . H. Having political connections?,how important having political connections is for getting ahead in life
opeduc,need good education to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . C. Having a good education yourself?,how important having a good education is for getting ahead in life
ophrdwrk,need to work hard to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . F. Hard work -- how important is that for getting ahead in life?,how important hard work is for getting ahead in life
opknow,need to know right people to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . G. Knowing the right people?,how important knowing the right people is for getting ahead in life
oppared,need educated parents to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . B. Having well educated parents?,how important having well-educated parents is for getting ahead in life
oprelig,need to be right religion to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . J. A person''s religion?,how important being the right religion is for getting ahead in life
opwlth,need wealthy family to get ahead,"Please show for each of these how important you think it is for getting ahead in life . . . A. First, how important is coming from a wealthy family?",how important coming from a wealthy family is for getting ahead in life
goodlife,standard of living of r will improve,"The way things are in America, people like me and my family have a good chance of improving our standard of living -- do you agree or disagree?",whether standard of living will improve
kidssol,r's kids living standard compared to r,"B. When your children are at the age you are now, do you think their standard of living will be much better, somewhat better, about the same, somewhat worse, or much worse than yours is now?",whether children's standard of living will be better or worse
parsol,r's living standard compared to parents,"A. Compared to your parents when they were the age you are now, Do you think your own standard of living now is much better, somewhat better, about the same, somewhat worse, or much worse than theirs was?",whether standard of living is better or worse than parents'
life,is life exciting or dull,"In general, do you find life exciting, pretty routine, or dull?",whether life is exciting routine or dull
satfam7,family satisfaction in general,"B. All things considered, how satisfied are you with your family life?",how satisfied to be with family life
helpful,people helpful or looking out for selves,"Would you say that most of the time people try to be helpful, or that they are mostly just looking out for themselves?",whether most people try to be helpful or are just looking out for themselves
helpfulnv,people helpful or looking out for selves (no volunteered response on web),"Would you say that most of the time people try to be helpful, or that they are mostly just looking out for themselves?",whether most people try to be helpful or are just looking out for themselves
helpfulv,people helpful or looking out for selves (with volunteered response on web),"Would you say that most of the time people try to be helpful, or that they are mostly just looking out for themselves?",whether most people try to be helpful or are just looking out for themselves
hrsrelax,hours per day r have to relax,"After an average work day, about how many hours do you have to relax or pursue activities that you enjoy?",how many hours per day to have to relax
hunt,does r or spouse hunt,A. Do you (or does your [husband/wife]) go hunting? CIRCLE ONLY ONE CODE.,whether to go hunting
socbar,spend evening at bar,Would you use this card and tell me which answer comes closest to how often you do the following things… D. Go to a bar or tavern?,how often to go to a bar
socfrend,spend evening with friends,Would you use this card and tell me which answer comes closest to how often you do the following things… C. Spend a social evening with friends who live outside the neighborhood?,how often to spend a social evening with friends
socommun,spend evening with neighbor,Would you use this card and tell me which answer comes closest to how often you do the following things… B. Spend a social evening with someone who lives in your neighborhood?,how often to spend a social evening with neighbors
socrel,spend evening with relatives,Would you use this card and tell me which answer comes closest to how often you do the following things… A. Spend a social evening with relatives?,how often to spend a social evening with relatives
visnhist,how often r visited natural history museum last year,A natural history museum. How many times did you visit a natural history museum during the last year?,how many times to visit a natural history museum
vissci,how often r visited science museum,A science or technology museum. How many times did you visit a science or technology museum during the last year?,how many times to visit a science museum
viszoo,how often r visited zoo last year,A zoo or aquarium. How many times did you visit a zoo or aquarium during the last year?,how many times to visit a zoo
xmovie,seen x-rated movie in last year,A. Have you seen an X-rated movie in the last year?,whether to see an X-rated movie
homosex,homosexual sex relations,"What about sexual relations between two adults of the same sex--do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all?",whether homosexual sex relations are wrong
homosex1,is homosexual sex wrong?,"C. And what about sexual relations between two adults of the same sex, is it. . .",whether homosexual sex is wrong
premarsx,sex before marriage,"There's been a lot of discussion about the way morals and attitudes about sex are changing in this country. If a man and woman have sex relations before marriage, do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all?",whether sex before marriage is wrong
teensex,sex before marriage:teens 14-16,"There's been a lot of discussion about the way morals and attitudes about sex are changing in this country. If a man and woman have sex relations before marriage, do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all? A. What if they are in their early teens, say 14 to 16 years old? In that case, do you think sex relations before marriage are always wrong, almost always wrong, wrong only sometimes, or not wrong at all?",whether sex before marriage for teenagers is wrong
xmarsex,sex with person other than spouse,"What is your opinion about a married person having sexual relations with someone other than the marriage partner--is it always wrong, almost always wrong, wrong only sometimes, or not wrong at all?",whether extramarital sex is wrong
xmarsex1,is extramarital sex wrong?,"B. What about a married person having sexual relations with someone other than his or her husband or wife, is it. . .",whether extramarital sex is wrong
eldfnce,GRANDPARENTS SHOULD HELP GRANDCHILDREN FINANCIALLY,"Consider an elderly couple. One of their grandchildren is in need of temporary financial help because the company he/she worked for closed down recently. Do you think they should, or should not, try their best to help their grandchild financially? Pleas",whether grandparents should help grandchildren financially
marasian,close relative marry asian,"What about having a close relative marry an Asian American person? Would you be very in favor of it happening, somewhat in favor, neither in favor nor opposed to it happening, somewhat opposed, or very opposed to it happening?",how to feel about a close relative marrying an Asian American person
marmakid,single ma can raise kids well as couple,Do you agree or disagree? G. A single mother can bring up her child as well as a married couple.,whether a single mother can raise a child as well as a married couple
marpakid,single pa can raise kids well as couple,Do you agree or disagree? H. A single father can bring up his child as well as a married couple.,whether a single father can raise a child as well as a married couple
marwht,r favor close relative marrying white person,"What about having a close relative marry a white person? Would you be very in favor of it happening, somewhat in favor, neither in favor nor opposed to it happening, somewhat opposed, or very opposed to it happening?",how to feel about a close relative marrying a white person
meovrwrk,men hurt family when focus on work too much,"And, do you agree or disagree . . . C. Family life often suffers because men concentrate too much on their work.",whether family life suffers when men focus too much on work
relmarry,r accepts a person from a different religion or view from r's marrying relative,People belong to different religions and have different religious views. A. Would you accept a person from a different religion or with a very different religious view from yours marrying a relative of yours? Would you say…,whether to accept a person from a different religion marrying a relative
recycle,recycle cans bottles,A. How often do you make a special effort to sort glass or cans or plastic or papers and so on for recycling?,how often to make a special effort to recycle glass or cans or plastic or papers
raclive,any opp. race in neighborhood,"Are there any (""whites"" for black respondents, ""Black people"" for non-black respondents) living in this neighborhood now?",whether there are people of the opposite race living in the neighborhood
rfamlook,hours r spends looking after family members,"A. On average, how many hours a week do you spend looking after family members (e.g. children, elderly, ill or disabled family members)?",how many hours per week to spend looking after family members
spfalook,hours spouse spends looking after family members,"And on average, how many hours a week does he/she spend looking after family members (e.g. children, elderly, ill or disabled family members)?",how many hours per week a spouse spends looking after family members
richwork,"if rich, continue or stop working","If you were to get enough money to live as comfortably as you would like for the rest of your life, would you continue to work or would you stop working?",whether to continue working if rich enough to live comfortably
spanking,favor spanking to discipline child,"Do you strongly agree, agree, disagree, or strongly disagree that it is sometimes necessary to discipline a child with a good, hard spanking?",whether it is sometimes necessary to discipline a child with spanking
toofast,science makes our way of life change too fast,"I'm going to read to you some statements like those you might find in a newspaper or magazine article. For each statement, please tell me if you strongly agree, agree, disagree, or strongly disagree. B. Science makes our way of life change too fast.",whether science makes life change too fast
trustsci,we trust too much in science,We trust too much in science and not enough in religious faith.,whether we trust too much in science and not enough in religious faith
intmed,interested in medical discoveries,"Issues about new medical discoveries. (Are you very interested, moderately interested, or not at all interested?)",how interested to be in new medical discoveries
intsci,interested in new scientific discoveries,"Issues about new scientific discoveries. (Are you very interested, moderately interested, or not at all interested?)",how interested to be in new scientific discoveries
inttech,interested in technologies,"Issues about the use of new inventions and technologies. (Are you very interested, moderately interested, or not at all interested?)",how interested to be in new inventions and technologies
